NFCSID,STATEQ,CENSUSDIV,CENSUSREG,A50A,A3Ar_w,A50B,A4A_new_w,A5_2015,A6,A7,A7A,A11,A8_2021,AM21,X3,A9,A40,A10,A10A,A21_2015,A14,A41,J1,J2,J3,J4,J40,J5,J6,J8,J9,J10,J20,J50,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J32,J33_40,J53,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4,B41_1,B41_2,B31,B42,B43,C1_2012,C2_2012,C3_2012,C4_2012,C5_2012,C10_2012,C11_2012,B14,EA_1,E7,E8,E20,E15_2015,P50,P51,P52,F1,F2_1,F2_2,F2_3,F2_4,F2_5,F2_6,G1,G20,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G33,G35,G22_2015,G25_1,G25_2,G25_3,G25_4,G25_5,G38,G23,H1,H30_1,H30_2,H30_3,M1_1,M1_2,M4,M20,M21_1,M21_2_2015,M21_3,M21_4,M6,M7,M8,M31,M50,M9,M10,wgt_n2,wgt_d2,wgt_s3
2021010941,41,5,3,2,4,10,2,3,1,2,1,5,6,3,1,2,2,2,1,2,1,3,8,1,1,3,1,1, ,2, ,2,1,1,0,0,1,0,0,0,0,0,2,3,3,5,2,2,4,3,3,2,1,1,2,3,3,1,1,3,2, , ,2, , , ,2,2, , , , ,2,2,2,2,2,1,1,2,2,2,2,1,0,0,0,0,0,1,0,0, , , ,1,1,2,5,5,1,7,1,1,1,1,3,4,4,3, , , , ,3,98,98,98,98,1,98,1.215948658,0.759414895,1.082924302
2021010942,48,9,4,1,3,3,2,7,2,4,3,1,7,3,1,1,1, ,1, , ,6,10,10,3,3,1,1,1,1, ,2,1,1,0,0,1,0,0,0,0,0,2,5,6,4,3,3,3,5,1,4,1,1,2,3,3,1,1,1,1, ,1,1,1,2,2,1,1,2,2, , ,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,6,1,2,2,2,6,6,6,3, , , , ,1,1,1,3,1,98,98,2.964405804,1.449911554,1.800939347
2021010943,5,9,4,2,2,8,2,2,2,4,3,6,5,3,1,1,1, ,1,2, ,2,5,3,3,1,2,2, ,2, ,1,4,1,1,0,0,0,0,0,0,0,99,3,7,6,5,3,5,1,4,3,1,1,2,2,3,2,2,2,2, , ,2, , , ,1,2, , , , ,2,2,2,3,2,1,1,2,2,2,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,7,2,1,1,1,5,4,5,3, , , , ,1,2,98,4,98,98,2,0.500298647,2.307778302,1.040047184
2021010944,44,7,3,1,2,2,2,2,1,2,1,6,5,3,1,2,2,2,1,2,1,1,5,5,2,2,2,1, ,2, ,2,2,1,0,1,0,0,0,0,0,0,2,5,4,2,1,2,3,3,2,3,1,1,2,2,1,3,3,3,2, , ,2, , , ,2,1,2,2, , ,2,2,2,2,1,2,1,2,2,2,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,4,2,2,2,2,4,4,5,3, , , , ,98,98,98,98,1,98,98,3.558739399,3.081810739,1.039490367
2021010945,5,9,4,2,2,8,2,7,1,2,1,6,5,3,1,2,1,1,1, ,1,6,10,1,1,3,1,1, ,1, ,2,1,1,0,1,0,0,0,0,0,0,2,5,7,5,5,3,4,5,5,4,1,1,2,3,2,3,3,3,1,1,2,2, , , ,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,2,7,1,2,1,2,7,6,6,1, , , , ,98,3,1,98,1,1,2,1.022075528,2.184118052,0.918994104
2021010946,22,1,1,1,2,2,1,6,2,4,3,6,9,3,1,2,2, ,1, , ,5,7,10,1,3,1,1, ,1, ,2,1,1,0,0,1,0,0,0,0,0,2,5,4,6,2,2,3,4,3,3,1,1,2,2,3,2,2,2,1, ,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,5,5,5,3, , , , ,1,3,2,3,1,1,2,0.356312923,2.509959047,0.767961227
2021010947,1,6,3,1,2,2,1,3,2,4,3,6,4,99,1,6,2, ,1,2, ,2,1,1,3,2,1,2, ,2, ,2,98,2, , , , , , , , ,2,3,4,2,1,2,5,3,1,2,2,2, , , ,3,3,3,2, , ,2, , , , ,2, , , , ,2,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,2,2,2,2,4,1,98,3, , , , ,98,98,98,98,98,1,98,0.808937197,0.922399335,0.885303448
2021010948,41,5,3,1,3,3,2,7,1,2,1,1,8,3,1,2,2,3,1, ,1,6,6,7,3,3,3,1,1,1, ,1,1,1,1,0,1,0,0,0,0,0,2,5,4,4,2,2,3,3,3,3,1,1,2,3,3,1,2,3,1,1,1,1,1,2,2,1,2, , , , ,2,2,2,3,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,4,1,2,2,2,7,7,5,3, , , , ,1,3,2,2,1,1,2,1.326546938,0.715161709,1.410883982
2021010949,22,1,1,1,3,3,2,4,1,1,1,1,5,1,2,2,1,2,1,2,1,3,8,7,2,2,2,2,1,98, ,2,2,2, , , , , , , , ,2,5,6,4,2,5,1,5,5,3,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1, ,1,1,1,5,1,1,2,1,2,1,2,1,0,0,0,0,0,0,0,1, , , ,3,2,2,3,3,2,5,1,2,1,2,6,6,5,3, , , , ,2,2,2,2,3,1,1,0.603934021,4.331452438,1.333256306
2021010950,36,3,2,1,2,2,1,2,2,1,3,6,4,3,1,2,2, ,1,2, ,5,10,8,1,3,1,1, ,2, ,2,1,1,0,0,1,0,0,0,0,0,2,5,1,1,1,1,1,5,1,4,1,1,2,1,1,3,3,3,1, ,2,1,1,2,2,1,1,2,2, , ,2,1,99,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,7,6,3, , , , ,1,3,2,2,1,1,2,1.558444309,1.192160069,0.993334361
2021010951,50,3,2,2,2,8,1,4,1,2,1,1,6,3,1,2,2,2,1,2,1,5,7,5,3,3,2,1,2,2, ,2,1,1,0,1,0,0,0,0,0,0,2,4,5,5,4,2,5,4,3,3,1,1,2,2,3,3,2,1,1,1,2,2, , , ,2,2, , , , ,2,2,2,2,2,1,1,1,2,2,1,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,6,1,2,2,2,5,7,6,2,1,2,2, ,1,1,1,3,3,1,2,1.341734763,0.586988471,0.929124354
2021010952,10,5,3,2,3,9,2,2,1,2,1,6,3,3,1,7,2,2,1,2,98,2,98,4,3,2,2,2, ,2, ,1,2,2, , , , , , , , ,2,98,4,2,1,2,2,3,2,3,1,2,2,1,2,2,3,3,2, , ,2, , , ,2,2, , , , ,2,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,2,2,2,2,6,5,98,3, , , , ,98,1,1,98,98,1,98,2.472910267,4.301766517,1.327804459
2021010953,5,9,4,1,2,2,2,4,2,1,3,6,4,3,1,3,1, ,1,2, ,3,10,8,3,3,2,1, ,1, ,1,1,1,0,0,1,0,0,0,0,0,2,5,7,5,5,5,5,5,5,4,1,1,1,3,3,1,2,1,1, ,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,2,1,1,2,2,2,7,7,7,3, , , , ,1,3,1,3,1,1,2,1.469934641,3.021932095,1.18460104
2021010954,26,4,2,2,1,7,2,6,2,1,3,6,3,3,1,2,1, ,1, , ,5,10,9,1,3,1,1, ,1, ,1,2,1,0,1,0,0,0,0,0,0,1,5,5,2,4,3,4,5,4,4,1,1,1,2,3,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,3,1,2,3,2,1,1,1,1,1,2,2,2,6,5,6,2,1,1,1, ,2,2,1,2,3,1,2,0.426498431,1.614877585,0.92620922
2021010955,34,5,3,1,3,3,1,6,1,2,1,1,8,3,1,2,2,2,1, ,3,6,7,10,2,3,1,1,1,1, ,2,1,2, , , , , , , , ,2,4,3,5,1,2,2,5,2,4,1,1,2,1,3,2,2,3,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,5,1,2,2,2,6,6,6,3, , , , ,1,2,4,3,3,1,2,0.947188334,1.169268232,0.794027391
2021010956,11,5,3,2,3,9,2,4,2,2,2,1,3,3,1,4,2,2,1,2,3,2,1,1,1,2,98,2,2,2, ,1,4,1,1,0,1,0,0,0,0,0,2,2,7,6,5,3,4,2,5,98,1,1,98,1,1,3,3,3,98, , ,98, , , ,98,2, , , , ,2,2,2,7, , , , , , ,2,2,1,0,0,0,0,0,0,0,1,98,1,1,1,1,1,1,2,7,1,2,2,2,4,1,5,3, , , , ,98,98,98,98,98,98,98,1.215948658,1.463379487,0.994850945
2021010957,14,3,2,1,3,3,2,2,1,2,1,6,4,3,1,3,1,3,1,2,1,4,10,10,3,1,1,1, ,1, ,1,1,1,1,1,1,0,0,0,0,0,1,5,7,4,5,5,5,5,5,4,1,2,2,3,3,1,1,1,2, , ,2, , , ,2,2, , , , ,2,2,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,1,3,2,4,4,3,5,2,2,4,1,2,2,2,7,7,7,1, , , , ,3,3,3,1,1,1,1,1.766222543,1.280919819,0.933536931
2021010958,10,5,3,1,3,3,1,6,1,2,1,3,7,2,1,2,2,2,1, ,2,6,8,10,3,3,1,1,2,1, ,2,1,1,1,1,1,0,0,1,0,0,2,5,3,4,2,2,2,5,2,4,1,1,2,2,3,1,2,1,1,3,1,2,1,2,2,1,1,1,2,2,1,2,2,2,3,2,1,1,2,2,2,1,2,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,2,1,2,2,2,5,7,5,3, , , , ,1,3,1,3,1,1,2,0.947188334,2.269272903,0.807866301
2021010959,31,2,1,1,2,2,2,6,2,1,3,6,5,3,1,2,2, ,1, , ,5,9,8,1,2,2,1, ,2, ,1,3,1,1,0,0,0,0,0,0,0,2,3,5,4,4,4,4,2,4,3,1,1,2,2,2,2,1,2,2, , ,2, , , ,2,2, , , , ,2,2,2,1,2,1,1,2,1,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,6,1,2,2,2,6,6,5,3, , , , ,98,98,98,98,98,98,98,1.991026427,0.558709435,0.729244397
2021010960,15,3,2,1,3,3,1,4,4,1,3,1,5,3,1,2,2, ,1,2, ,3,5,4,3,2,2,2,2,2, ,2,3,1,1,0,0,0,0,0,0,0,2,2,7,4,5,5,4,2,3,2,1,2,2,1,1,3,3,3,1, ,2,2, , , ,2,2, , , , ,2,2,2,7, , , , , , ,2,2,1,0,0,0,0,0,0,0,2,4,1,1,5,1,5,3,1,5,2,2,2,2,5,4,2,3, , , , ,98,98,98,3,98,1,98,1.523254637,0.664857013,0.86420854
2021010961,50,3,2,1,3,3,2,5,2,1,3,6,2,2,1,7,2, ,1,2, ,4,1,7,3,2,1,2, ,2, ,2,2,1,1,0,0,1,0,0,0,0,1,2,6,5,3,5,2,2,5,2,1,1,2,2,3,2,2,3,2, , ,2, , , ,1,2, , , , ,1,1,1,7, , , , , , ,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,1,7,2,2,2,1,4,5,4,3, , , , ,1,2,2,2,1,1,2,2.13333368,0.716941937,1.227773951
2021010962,5,9,4,2,2,8,2,6,2,4,3,4,2,3,1,2,2, ,1, , ,5,6,5,2,2,2,2,2,2, ,2,4,99, , , , , , , , ,2,3,4,4,2,3,4,3,3,2,1,2,2,2,2,3,3,3,2, , ,2, , , ,2,1,1,1,2,2,2,98,2,2,2,2,2,2,98,98,98,2,0,1,0,0,0,0,0,0,2,3,2,2,2,1,1,1,2,4,1,2,2,2,4,4,4,3, , , , ,1,2,3,3,98,1,98,0.60702033,2.219881251,0.947733203
2021010963,44,7,3,2,1,7,2,5,2,3,3,6,2,3,1,2,2, ,1,2, ,4,10,10,3,3,1,1, ,2, ,2,98,1,1,1,1,0,0,0,0,0,2,98,1,98,1,4,1,5,4,4,1,98,2,3,3,3,2,3,98, , ,98, , , ,98,1,2,2, , ,98,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,2,2,2,2,7,1,7,3, , , , ,98,99,98,98,98,98,98,3.063878726,2.916811866,1.002183824
2021010964,10,5,3,1,1,1,1,4,2,1,3,6,6,3,1,5,1, ,1, , ,5,8,4,1,2,1,1, ,2, ,2,1,1,1,0,1,0,0,0,0,0,2,4,4,4,2,2,2,5,3,3,1,1,2,2,2,1,3,2,2, , ,2, , , ,98,1,1,98,2,1,1,2,98,2,1,2,2,1,2,2,2,2,1,0,0,0,0,0,0,0,1,2,2,2,2,98,2,1,2,3,1,2,2,2,6,7,6,2,1,1,2, ,1,3,1,2,1,1,2,1.19990134,2.632286118,0.842665612
2021010965,33,2,1,2,2,8,2,6,2,4,3,6,1,3,1,3,2, ,1, , ,5,5,3,3,99,2,99, ,2, ,2,98,2, , , , , , , , ,2,4,5,3,3,2,3,3,3,3,1,1,2,3,2,3,3,3,2, , ,2, , , ,2,1,2,2, , ,1,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,5,6,5,1, , , , ,1,98,98,3,98,98,98,2.070454902,1.378063173,0.94108932
2021010966,36,3,2,2,3,9,1,6,1,2,1,6,5,3,1,2,2,2,1, ,3,2,4,1,1,3,1,2, ,2, ,2,2,1,0,0,1,0,0,0,0,0,1,4,4,2,4,4,4,3,4,2,1,1,2,3,3,2,2,2,1,3,98,2, , , ,2,2, , , , ,2,2,2,3,1,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,4,1,2,2,2,7,7,4,98, , , , ,99,99,99,99,99,1,98,1.100012582,1.052636484,0.854664935
2021010967,34,5,3,1,2,2,2,1,2,2,2,1,2,3,1,7,1,7,1, ,3,2,4,7,2,2,3,2,2,2, ,2,4,1,1,0,0,0,0,0,0,0,1,2,4,5,1,3,1,3,4,4,1,2,1,1,3,2,1,2,98, , ,2, , , ,2,2, , , , ,2,2,1,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,3,1,1,1,2,4,2,1,98,98,4,3,4,2,1, ,2, ,1,1,1,2,98,2,2,1.391292529,1.614278053,0.928043552
2021010968,5,9,4,1,1,1,2,2,2,3,3,4,1,3,1,5,2, ,1, , ,2,10,10,2,1,1,2,1,1, ,2,1,2, , , , , , , , ,2,5,7,6,4,5,5,5,5,4,1,1,1,3,3,1,1,1,2, , ,2, , , ,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,1,2,1,1,1,1,1,1,1,7,1,1,2,2,7,7,7,1, , , , ,98,98,1,98,98,98,98,0.873008096,3.071413833,1.22164629
2021010969,36,3,2,1,2,2,1,7,1,2,1,1,7,3,1,2,1,2,1, ,1,6,7,7,1,3,1,1,1,1, ,2,1,1,0,1,0,0,0,0,0,0,2,4,1,5,1,1,1,5,1,4,1,1,2,2,2,3,3,3,1,1,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,7,5,3, , , , ,1,3,4,2,1,1,2,1.258638082,1.082145816,0.935817525
2021010970,21,5,3,2,2,8,2,6,2,3,3,6,1,3,1,5,2, ,1, , ,2,5,5,1,2,1,1, ,1, ,2,2,1,1,0,1,0,0,0,0,0,2,5,5,4,4,3,4,3,3,3,1,1,2,3,2,2,3,3,2, , ,98, , , ,1,98, , , , ,2,2,2,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,99,99,4,4,4,3, , , , ,1,3,2,2,1,98,2,1.168467896,0.754185734,0.889270955
2021010971,45,8,4,1,3,3,1,4,1,2,1,6,3,3,1,2,2,3,1,2,3,3,7,3,1,3,1,1, ,1, ,2,1,1,0,0,1,0,0,0,0,0,2,5,7,4,3,2,5,4,4,3,1,1,2,3,3,3,3,3,1,98,1,1,1,2,2,1,2, , , , ,2,2,2,1,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,5,1,2,2,2,7,7,5,3, , , , ,1,2,2,3,1,1,2,0.449070775,0.956002937,1.056212733
2021010972,19,7,3,1,3,3,1,1,1,2,1,2,3,3,1,2,1,7,1, ,2,1,1,10,2,2,1,2,2,2, ,1,4,2, , , , , , , , ,1,1,6,6,3,4,3,2,4,2,1,1,1,3,3,1,2,2,2, , ,2, , , ,2,1,2,2, , ,2,2,2,2,2,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0, , , ,1,3,1,5,4,1,7,2,1,1,1,7,7,7,3, , , , ,1,1,2,3,2,1,2,1.475065731,0.471558959,0.909375047
2021010973,44,7,3,2,2,8,2,7,1,2,1,6,10,1,2,2,1,2,1, ,1,6,10,10,1,3,3,1, ,1, ,2,1,1,1,0,1,1,1,0,0,0,2,5,1,4,5,2,3,5,1,4,1,1,98,2,3,2,1,1,1,1,2,98, , , ,2,1,1,1,2,3,1,2,1,4,1,1,2,98,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,5,3,4,3,5,1,1,1,98,2,1,7,7,7,2,1,1,1,1,1,1,1,1,3,1,98,1.216712674,2.335122515,0.787481882
2021010974,43,6,3,2,3,9,1,4,4,1,3,1,4,3,1,2,2, ,1,2, ,3,8,5,1,3,1,1,1,2, ,2,1,1,0,0,1,0,0,1,0,0,2,5,4,2,2,2,2,5,2,3,1,1,2,2,3,3,2,3,1, ,2,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,6,6,5,3, , , , ,1,98,98,3,2,1,98,0.706987264,1.295142821,0.908793402
2021010975,14,3,2,2,4,10,1,2,2,4,3,1,3,3,1,3,2, ,1,2, ,2,4,98,3,2,1,2,2,2, ,2,4,1,1,1,0,0,0,0,0,0,2,2,6,6,4,5,4,2,5,2,1,2,2,3,3,3,2,2,2, , ,2, , , ,2,1,2,2, , ,2,2,2,3,2,1,1,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,6,1,2,2,2,7,6,5,2,1, ,2, ,1,3,98,3,1,1,98,1.362034386,1.200329361,0.922255576
2021010976,26,4,2,2,2,8,2,6,1,2,1,2,7,1,2,2,1,2,1, ,3,6,9,10,2,1,2,1,1,1, ,1,1,1,0,1,0,1,0,0,0,0,1,4,7,5,5,3,3,5,5,3,1,2,1,3,2,1,1,2,98, , ,98, , , ,98,98, , , , ,98,98,98,3,1,1,98,1,1,1,1,1,1,1,1,0,0,0,0,0,1,4,1,4,4,4,2,3,1,7,1,1,2,98,4,7,7,2,1,2,1,1,98,98,98,98,98,98,98,0.426498431,1.614877585,0.92620922
2021010977,20,1,1,1,3,3,1,4,1,3,1,6,3,3,1,2,2,1,1,2,1,3,10,10,1,2,2,1, ,2, ,2,1,1,1,0,0,0,0,0,0,0,2,4,4,98,3,4,99,4,1,4,1,2,2,3,1,2,3,3,1,1,2,2, , , ,1,1,2,2, , ,1,1,99,7, , , , , , ,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,1,2,1,1,2,1,7,6,6,2,1,1,2, ,98,98,98,98,98,98,98,0.431224288,0.558412769,0.87577453
2021010978,36,3,2,2,3,9,1,4,1,2,1,2,4,3,1,6,2,6,1,2,3,2,4,2,3,2,1,1,2,1, ,1,1,1,1,0,1,0,0,0,0,0,2,5,5,6,3,4,5,1,4,2,1,1,2,1,3,3,2,3,1,2,98,2, , , ,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,2,1,2,2,2,6,6,5,3, , , , ,1,3,98,98,1,1,98,1.362034386,1.159650728,0.907194004
2021010979,5,9,4,2,2,8,2,4,2,4,3,6,3,3,1,2,2, ,1,2, ,3,6,1,2,3,2,2, ,1, ,1,3,1,1,0,0,0,0,0,0,0,1,98,7,3,5,5,5,3,1,1,1,2,1,3,1,3,3,3,1, ,1,1,1,2,2,2,2, , , , ,2,2,98,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,1,1,1,1,3, , , , ,98,98,1,98,1,2,1,0.500298647,2.307778302,1.040047184
2021010980,47,5,3,1,3,3,1,5,2,3,3,6,1,3,1,7,1, ,1,2, ,2,4,3,3,3,99,1, ,2, ,99,4,1,1,0,0,0,0,0,0,0,2,98,2,2,2,2,2,99,2,3,2,2, , , ,3,3,3,2, , ,2, , , , ,2, , , , ,2,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,5,7,5,3, , , , ,1,3,98,98,1,98,98,1.172807568,1.153493714,1.1244806
2021010981,44,7,3,1,2,2,1,5,2,1,3,6,5,3,1,2,1, ,1,2, ,4,8,6,2,2,1,2, ,1, ,2,2,2, , , , , , , , ,2,5,5,4,4,4,3,5,4,3,1,2,1,3,2,2,2,2,1, ,2,1,2,1,2,2,1,2,1,2, ,2,2,2,3,2,1,2,2,2,1,2,2,1,0,0,0,0,0,0,0,2,4,2,5,4,5,4,4,1,5,2,2,2,1,6,5,5,2,2,1,2, ,1,3,1,2,1,98,1,1.50914216,2.640381334,0.964159923
2021010982,44,7,3,1,2,2,1,5,1,2,1,3,4,3,1,2,2,4,1,2,1,4,2,2,3,2,1,2,2,1, ,2,2,1,1,1,1,0,0,0,0,0,2,5,6,6,4,4,5,3,4,3,1,1,2,2,3,3,3,3,1,1,1,2,2,2,2,1,1,2,2, , ,2,2,2,2,2,1,1,2,2,2,1,2,0,1,0,0,0,0,0,0,98,2,2,2,1,5,2,1,2,7,1,2,2,2,5,5,6,2,1,2,2, ,1,3,1,2,1,1,2,1.50914216,2.640381334,0.964159923
2021010983,32,8,4,1,4,4,2,3,4,1,3,5,4,3,1,2,2, ,1,2, ,2,6,6,3,3,1,1, ,2, ,2,98,1,0,1,0,0,0,0,0,0,2,5,5,6,3,3,4,4,3,3,1,1,2,99,99,3,99,3,1, ,98,2, , , ,2,1,1,2,2,1,2,2,2,1,1,1,1,2,98,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,5,1,2,98,2,5,5,4,3, , , , ,98,98,98,98,98,1,2,1.0589631,0.876071563,1.394794848
2021010984,44,7,3,1,3,3,2,7,2,1,3,6,5,1,2,2,2, ,1, , ,2,6,8,3,3,2,1, ,1, ,1,1,1,0,1,0,0,0,0,0,0,2,5,5,5,2,3,2,3,2,3,1,1,2,3,2,3,2,3,1, ,2,1,1,2,2,1,1,1,2,2,1,2,2,2,3,1,2,2,2,2,1,2,2,0,0,0,0,0,1,0,0, , , ,2,1,1,1,1,2,5,1,2,2,2,6,6,5,2,2,1,2,1,1,3,1,2,1,1,2,2.809228002,2.537983142,0.880265661
2021010985,31,2,1,1,3,3,1,3,2,1,3,1,5,3,1,2,2, ,1,2, ,2,8,1,1,3,2,1,1,2, ,2,1,1,0,0,1,0,0,0,0,0,2,4,1,98,1,1,1,5,1,4,1,1,2,1,3,3,3,3,2, , ,2, , , ,2,2, , , , ,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,7,98,98, , , , ,1,3,1,3,1,1,2,2.07814454,0.588029929,1.097340364
2021010986,11,5,3,2,2,8,2,6,2,3,3,1,4,3,1,3,1, ,1, , ,4,7,5,1,3,1,2,1,2, ,2,2,1,0,1,1,0,0,0,0,0,2,3,4,4,1,1,2,5,2,4,1,1,2,2,3,3,2,1,1, ,98,2, , , ,1,2, , , , ,2,2,1,2,1,2,1,2,2,2,1,2,1,0,0,0,0,0,0,0,2,1,2,1,5,1,1,1,2,5,1,2,2,2,7,7,6,3, , , , ,2,1,4,2,3,1,1,0.967394064,1.237074094,0.955703433
2021010987,44,7,3,2,3,9,2,7,1,4,1,1,7,3,1,2,2,2,1, ,2,6,8,7,3,3,1,1,1,2, ,2,1,2, , , , , , , , ,2,4,5,3,5,2,5,3,4,3,1,1,2,3,3,2,1,3,1,1,1,2,1,2,2,1,1,2,2, , ,1,2,2,2,1,2,2,2,2,2,1,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,3,1,2,2,2,4,2,5,3, , , , ,1,98,1,2,3,1,98,1.491841892,2.831395652,1.024953685
2021010988,34,5,3,1,1,1,2,2,2,4,3,6,1,3,1,2,1, ,1,2, ,2,1,5,1,2,2,2, ,2, ,2,3,1,1,0,0,0,0,0,0,0,2,98,2,6,2,2,2,3,3,3,1,2,2,1,3,2,2,3,2, , ,2, , , ,2,2, , , , ,2,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,2,98,2,2,2,7,4,4,3, , , , ,98,98,1,98,3,98,98,1.391292529,1.614278053,0.928043552
2021010989,23,3,2,2,1,7,2,1,2,2,2,6,1,3,1,7,1,7,1, ,3,1,1,6,1,1,98,2, ,2, ,1,4,2, , , , , , , , ,2,98,4,5,5,1,3,98,4,3,2,2, , , ,3,2,3,2, , ,2, , , , ,2, , , , ,2,2,2,7, , , , , , ,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,1,2,2,2,4,98,3, , , , ,98,98,98,98,3,98,98,1.250802168,1.179338564,1.177328952
2021010990,39,2,1,1,3,3,2,6,1,2,1,2,5,3,1,7,2,2,1, ,3,4,4,1,1,2,1,1,2,1, ,1,2,2, , , , , , , , ,1,5,7,6,4,5,4,3,5,1,1,1,2,3,2,2,3,3,1,3,1,2,2,2,2,1,1,1,2,2,1,2,2,2,3,1,2,2,2,2,2,1,2,0,1,0,0,0,0,0,0,98,2,98,1,1,1,1,1,2,7,1,2,2,2,4,5,2,3, , , , ,1,3,98,98,98,1,2,3.957777415,1.082672328,1.319331521
2021010991,50,3,2,1,6,6,1,4,1,2,1,5,4,3,1,8,2,8,2,2,1,3,7,8,1,3,1,1, , ,1,2,1,1,1,0,1,0,0,0,0,0,2,5,3,4,1,2,2,5,2,4,1,1,2,3,2,3,3,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,98,1,4,1,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,2,1,1,2,2,2,7,6,7,3, , , , ,1,3,1,2,1,1,2,1.664739263,0.683500975,1.167593931
2021010992,17,4,2,2,1,7,1,2,1,2,1,1,3,3,1,4,2,4,1,2,3,2,10,10,3,2,1,2,2,2, ,1,4,2, , , , , , , , ,2,3,6,4,5,2,4,2,5,2,1,1,2,1,3,3,2,3,2, , ,2, , , ,2,2, , , , ,2,2,1,7, , , , , , ,2,1,0,0,0,0,0,1,0,0, , , ,1,1,1,1,1,1,3,1,2,2,2,5,7,5,3, , , , ,1,1,98,2,3,1,2,0.455443955,0.831935432,0.987011213
